weekOf,topic,prev_week_progress,this_week_progress,status,week_source,source_file,extracted_at
2026-08-W2,"26년 하절기 준비농가
(담당별 - 세부계획)","한영-중계휀 6개 추가 설치 예정 설치위치 검토
- 중계휀 도착완료
-> 5월 1주차 설치 위치 및 중계휀 틀 제작
-> 틀제작 계획 취소 후 앵글로 설치 예정
-> 5/22 설치완료, 합의서 수령 완료","한영-중계휀 6개 추가 설치 예정 설치위치 검토
- 중계휀 도착완료
-> 5월 1주차 설치 위치 및 중계휀 틀 제작
-> 틀제작 계획 취소 후 앵글로 설치 예정
-> 5/22 설치완료, 합의서 수령 완료",진행중,26년8월1주,f6730b66-__1______26__8__2___.xlsx,2026-08-13T00:34:09
2026-08-W2,개군,,,완료,26년8월1주,f6730b66-__1______26__8__2___.xlsx,2026-08-13T00:34:09
2026-08-W2,거성,"- 출하두당 69,000원이면 거래유지 가능(연평균 당사기준 사육비 69,000원/두)","- 출하두당 69,000원이면 거래유지 가능(연평균 당사기준 사육비 69,000원/두)
 - 중계휀 설치예정",진행중,26년8월1주,f6730b66-__1______26__8__2___.xlsx,2026-08-13T00:34:09
2026-08-W2,광남농본,"* 월 24,000,000원으로 협의완료(사육규모 3,200두 대비 7,500원 정도)
- 이유자돈사 운영 건 차주 논의 예정(모돈 500두 이유자돈 생산량 수용가능)
- 광남농본쪽에서 근무하시던 출하기사님 물류비 계약 맺고 출하할 수 있는지 확인요청
-> 출하기사 불가 통보","* 월 24,000,000원으로 협의완료(사육규모 3,200두 대비 7,500원 정도)
- 이유자돈사 운영 건 논의 예정(모돈 500두 이유자돈 생산량 수용가능)
- 광남농본쪽에서 근무하시던 출하기사님 물류비 계약 맺고 출하할 수 있는지 확인요청
-> 출하기사 불가 통보
이유자돈사 차주 재논의",진행중,26년8월1주,f6730b66-__1______26__8__2___.xlsx,2026-08-13T00:34:09
2026-08-W2,대왕,"- 규모두당 57,000원 인상 요청, 시설장려금 요청 중
(공사 비용 및 농장운영자금 부족, 경쟁사 영입시도 : 돈돈팜스 규모두당 59,000원, 무이자 2억)","- 규모두당 57,000원 인상 요청, 시설장려금 요청 중
(공사 비용 및 농장운영자금 부족, 경쟁사 영입시도 : 돈돈팜스 규모두당 59,000원, 무이자 2억)",완료,26년8월1주,f6730b66-__1______26__8__2___.xlsx,2026-08-13T00:34:09
2026-08-W2,백근,"- 차주 시설장려금 진행 예정(500만원), 완료","- 차주 시설장려금 진행 예정(500만원), 완료",완료,26년8월1주,f6730b66-__1______26__8__2___.xlsx,2026-08-13T00:34:09
2026-08-W2,성웅용인,"* 농장 최소운영자금 33,000,000원 요청중(계약조건 명시)
- 전입돈군 육성율 97%수준으로 사양관리에 최선을 다하고 있으나 저체중 자돈으로 인한 회전율 저하 현상 발생(전입체중 24kg)
- 8월 3,4동 2개동 사육비 추가발생예상","* 농장 최소운영자금 33,000,000원 요청중(계약조건 명시)
- 전입돈군 육성율 97%수준으로 사양관리에 최선을 다하고 있으나 저체중 자돈으로 인한 회전율 저하 현상 발생(전입체중 24kg)
- 8월 2,3,4동 3개동 사육비 추가발생예상
- 현재 위출혈과 호흡기 증상으로 인한 폐사 발생하여 치료중",진행중,26년8월1주,f6730b66-__1______26__8__2___.xlsx,2026-08-13T00:34:09
2026-08-W2,신규농장,,,완료,26년8월1주,f6730b66-__1______26__8__2___.xlsx,2026-08-13T00:34:09
2026-08-W2,신옥산,"규모두당 57,000원 요청중","규모두당 57,000원 요청중",진행중,26년8월1주,f6730b66-__1______26__8__2___.xlsx,2026-08-13T00:34:09
2026-08-W2,양동,3동 전입 청소 요청(7-22),3동 전입 청소 요청(7-22) -> 일요일 전입 예정,완료,26년8월1주,f6730b66-__1______26__8__2___.xlsx,2026-08-13T00:34:09
